Family,Sub_family,Code,Description,National,Subnational,Subnational_harmonized
Household (H),Household headship (H),HH09,Proportion of 7-persons households of male-headed households,1,1,1
Household (H),Household headship (H),HH10,Proportion of 8-persons households of male-headed households,1,1,1
Household (H),Household headship (H),HH11,Proportion of 9-persons households of male-headed households,1,1,1
Household (H),Household headship (H),HH12,Proportion of 10-persons households of male-headed households,1,1,1
Household (H),Household headship (H),HH13,Proportion of 11+persons households of male-headed households,1,1,1
Household (H),Household headship (H),HH14,Proportion of 1-person households of female-headed households,1,1,1
Household (H),Household headship (H),HH15,Proportion of 2-persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH16,Proportion of 3-persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH17,Proportion of 4-persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH18,Proportion of 5-persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH19,Proportion of 6-persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH20,Proportion of 7-persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH21,Proportion of 8-persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH22,Proportion of 9-persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH23,Proportion of 10-persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH24,Proportion of 11+persons households of female-headed households,1,1,1
Household (H),Household headship (H),HH25,Proportion of unipersonal households of male-headed households,1,1,1
Household (H),Household headship (H),HH26,Proportion of households with nuclear relationships to head of male-headed households,1,1,1
Household (H),Household headship (H),HH27,Proportion of stem-family households based on relationship to head of male-headed households,1,1,1
Household (H),Household headship (H),HH28,Proportion of other family households based on relationship to head of male-headed households,1,1,1
Household (H),Household headship (H),HH29,Proportion non family households based on relationship to head of male-headed households,1,1,1
Household (H),Household headship (H),HH30,Proportion of other relative and / or non relative households based on relationship to head (residual category) of male-headed households,1,1,1
Household (H),Household headship (H),HH31,Proportion of unipersonal households of female-headed households,1,1,1
Household (H),Household headship (H),HH32,Proportion of households with nuclear relationships to head of female-headed households,1,1,1
Household (H),Household headship (H),HH33,Proportion of stem-family households based on relationship to head of female-headed households,1,1,1
Household (H),Household headship (H),HH34,Proportion of other family households based on relationship to head of male-headed households,1,1,1
Household (H),Household headship (H),HH35,Proportion non family households based on relationship to head of female-headed households,1,1,1
Household (H),Household headship (H),HH36,Proportion of other relative and / or non relative households based on relationship to head (residual category) of female-headed households,1,1,1
Household (H),Household headship (H),HH37,Average household size of male-headed households,1,1,1
Household (H),Household headship (H),HH38,Average household size of female-headed households,1,1,1
Household (H),Household headship (H),HH39,Average number of children in male-headed households,1,1,1
Household (H),Household headship (H),HH40,Average number of children in female-headed households,1,1,1
Household (H),Household headship (H),HH41,Average number of adults in male-headed households,1,1,1
Household (H),Household headship (H),HH42,Average number of adults in female-headed households,1,1,1
Household (H),Household headship (H),HH43,Average number of persons aged 65+ in female-headed households,1,1,1
Household (H),Household headship (H),HH44,Average number of persons aged 65+ in male-headed households,1,1,1
Household (H),Household headship (H),HH45,Average number of spouses in male-headed households,1,1,1
Household (H),Household headship (H),HH46,Average number of spouses in female-headed households,1,1,1
Household (H),Household headship (H),HH47,Average number of childs in male-headed households,1,1,1
Household (H),Household headship (H),HH48,Average number of childs in female-headed households,1,1,1
Household (H),Household headship (H),HH49,Average number of other relatives of male-headed households,1,1,1
Household (H),Household headship (H),HH50,Average number of other relatives of female-headed households,1,1,1
Household (H),Household headship (H),HH51,Average number of other non relatives of male-headed households,1,1,1
Household (H),Household headship (H),HH52,Average number of other non relatives of female-headed households,1,1,1
Household (H),Household headship (H),HH53,Average number of males adults in male-headed households,1,1,1
Household (H),Household headship (H),HH54,Average number of males adults in female-headed households,1,1,1
Household (H),Household headship (H),HH55,Average number of female adults in male-headed households,1,1,1
Household (H),Household headship (H),HH56,Average number of female adults in female-headed households,1,1,1
Time(T),NA,T1,Year,1,1,1
Time(T),NA,T2,Census round,1,1,1
Time(T),NA,T3,Most recent year,1,1,1
Time(T),NA,T5,Five years,1,1,1
Time(T),NA,T10,Decade,1,1,1
Geography (C),NA,C0,Country ISO nomenclature 2 digits,1,1,1
Geography (C),NA,C1,Country ISO nomenclature 3 digits,1,1,1
Geography (C),NA,C2,Country,1,1,1
Geography (C),NA,C3,Continent,1,1,1
Geography (C),NA,C4,Sub continent,1,1,1
Geography (C),NA,C5,Region,NA,1,1
Geography (C),NA,C6,Region Name,NA,1,1
Sample and source (S),NA,S1,Sample identification,1,1,1
Sample and source (S),NA,S2,Data source,1,1,1
Sample and source (S),NA,S3,Sample region identification,NA,1,1
Sample and source (S),NA,S3H,Sample region identification harmonized,NA,NA,1
Contextual (P-D),NA,P1,Population,1,NA,NA
Contextual (P-D),NA,P2,Population 2021,1,NA,NA
Contextual (P-D),NA,P3,Fertily rate,1,NA,NA
Contextual (P-D),NA,P4,Life expectancy,1,NA,NA
Contextual (P-D),NA,P5,Life expectancy female,1,NA,NA
Contextual (P-D),NA,P6,Life expectancy male,1,NA,NA
Contextual (P-D),NA,D1,Human development index,1,NA,NA
Contextual (P-D),NA,D2,Human development index 2021,1,NA,NA
Contextual (P-D),NA,D3,Expected years of schooling,1,NA,NA
Contextual (P-D),NA,D4,Mean years of schooling,1,NA,NA
Contextual (P-D),NA,D5,Gross Domestic income,1,NA,NA
Contextual (P-D),NA,D6,Gross National Income per capita,1,NA,NA
Contextual (P-D),NA,D7,Human development index female,1,NA,NA
Contextual (P-D),NA,D8,Expected years of schooling female,1,NA,NA
Contextual (P-D),NA,D9,Mean years of schooling female,1,NA,NA
Contextual (P-D),NA,D10,Gross National Income per capita female,1,NA,NA
Contextual (P-D),NA,D11,Human development index male,1,NA,NA
Contextual (P-D),NA,D12,Expected years of schooling male,1,NA,NA
Contextual (P-D),NA,D13,Mean years of schooling male,1,NA,NA
Contextual (P-D),NA,D14,Gross National Income per capita male,1,NA,NA
